Date,Open,High,Low,Close,Volume,Adj Close
2002-09-18,1.17965,1.17965,1.17965,1.17965,10700,0.22095
2002-09-17,1.17507,1.17507,1.1388,1.1388,000,0.2133
2002-09-16,1.14333,1.17965,1.14333,1.17054,161100,0.21924
2002-09-13,1.16147,1.16147,1.13427,1.13427,000,0.21245
2002-09-12,1.16147,1.17054,1.16147,1.17054,21400,0.21924
2002-09-11,1.16147,1.16147,1.11613,1.11613,000,0.20905
2002-09-10,1.14333,1.16147,1.14333,1.16147,32200,0.21754
2002-09-09,1.15694,1.166,1.09795,1.1524,42900,0.21584
2002-09-06,1.20232,1.20232,1.17054,1.18419,182600,0.2218
2002-09-05,1.15694,1.18872,1.15694,1.18872,214800,0.22265
2002-09-04,1.17507,1.17507,1.15694,1.15694,000,0.21669
2002-09-03,1.16147,1.17965,1.16147,1.17965,21400,0.22095
2002-09-02,1.18419,1.18419,1.15694,1.15694,000,0.21669
2002-08-30,1.18872,1.18872,1.18872,1.18872,10700,0.22265
2002-08-29,1.17965,1.18872,1.17965,1.18419,64400,0.2218
2002-08-28,1.15694,1.17965,1.15694,1.17965,85900,0.22095
2002-08-27,1.13427,1.15694,1.12973,1.15694,161100,0.21669
2002-08-26,1.17965,1.17965,1.13427,1.13427,977700,0.21245
2002-08-22,1.15694,1.15694,1.15694,1.15694,10700,0.21669
2002-08-21,1.13427,1.13427,1.13427,1.13427,21400,0.21245
2002-08-20,1.13427,1.13427,1.13427,1.13427,376000,0.21245
2002-08-19,1.13427,1.13427,1.13427,1.13427,214800,0.21245
2002-08-16,1.13427,1.1388,1.13427,1.13427,279300,0.21245
2002-08-15,1.13427,1.13427,1.1252,1.13427,343800,0.21245
2002-08-14,1.15694,1.15694,1.15694,1.15694,10700,0.21669
2002-08-13,1.13427,1.13427,1.13427,1.13427,214800,0.21245
2002-08-12,1.1388,1.1388,1.13427,1.13427,376000,0.21245
2002-08-09,1.166,1.166,1.166,1.166,10700,0.21839
2002-08-08,1.14787,1.14787,1.13427,1.13427,85900,0.21245
2002-08-07,1.15694,1.15694,1.15694,1.15694,10700,0.21669
2002-08-06,1.14333,1.14333,1.13427,1.13427,247100,0.21245
2002-08-05,1.13427,1.15694,1.13427,1.15694,21400,0.21669
2002-08-02,1.14787,1.14787,1.1252,1.1252,000,0.21075
2002-08-01,1.1524,1.1524,1.1524,1.1524,10700,0.21584
2002-07-31,1.1388,1.1388,1.1252,1.13427,118100,0.21245
2002-07-30,1.17507,1.17507,1.13427,1.13427,924000,0.21245
2002-07-29,1.13427,1.13427,1.12067,1.12067,000,0.2099
2002-07-26,1.15694,1.15694,1.15694,1.15694,10700,0.21669
2002-07-25,1.20232,1.20232,1.13427,1.13427,333000,0.21245
2002-07-24,1.17965,1.17965,1.17965,1.17965,10700,0.22095
2002-07-23,1.1116,1.17965,1.09795,1.17965,53700,0.22095
2002-07-22,1.13427,1.13427,1.13427,1.13427,32200,0.21245
2002-07-19,1.13427,1.1388,1.13427,1.1388,161100,0.2133
2002-07-18,1.1252,1.17507,1.1252,1.13427,204100,0.21245
2002-07-17,1.13427,1.13427,1.13427,1.13427,204100,0.21245
2002-07-16,1.16147,1.16147,1.13427,1.13427,1149700,0.21245
2002-07-15,1.17965,1.17965,1.13427,1.17965,64400,0.22095
2002-07-12,1.13427,1.20232,1.13427,1.20232,3997100,0.22519
2002-07-11,1.13427,1.13427,1.12973,1.13427,150400,0.21245
2002-07-10,1.14333,1.14333,1.13427,1.13427,64400,0.21245
2002-07-09,1.14333,1.14333,1.14333,1.14333,10700,0.21415
2002-07-08,1.14333,1.14333,1.1388,1.14333,32200,0.21415
2002-07-05,1.12973,1.12973,1.12973,1.12973,53700,0.2116
2002-07-04,1.12973,1.12973,1.08888,1.12067,1192600,0.2099
2002-07-03,1.13427,1.13427,1.13427,1.13427,655400,0.21245
2002-07-02,1.13427,1.13427,1.12973,1.13427,107400,0.21245
2002-07-01,1.17507,1.21139,1.13427,1.13427,161100,0.21245
2002-06-28,1.16147,1.17054,1.13427,1.13427,322300,0.21245
2002-06-27,1.1524,1.17965,1.1524,1.17965,21400,0.22095
2002-06-26,1.17054,1.17965,1.17054,1.17965,85900,0.22095
2002-06-25,1.17054,1.17965,1.17054,1.17965,75200,0.22095
2002-06-24,1.17965,1.17965,1.17054,1.17965,290100,0.22095
2002-06-21,1.17965,1.17965,1.17054,1.17965,171900,0.22095
2002-06-20,1.17965,1.18419,1.17507,1.17965,1654700,0.22095
2002-06-19,1.18872,1.18872,1.17965,1.17965,107400,0.22095
2002-06-18,1.18872,1.18872,1.17965,1.17965,182600,0.22095
2002-06-17,1.21139,1.21139,1.18872,1.18872,000,0.22265
2002-06-14,1.18419,1.18419,1.17965,1.17965,440500,0.22095
2002-06-13,1.19325,1.19325,1.18872,1.18872,236300,0.22265
2002-06-12,1.21139,1.21139,1.18419,1.19325,279300,0.2235
2002-06-11,1.20685,1.20685,1.18872,1.18872,000,0.22265
2002-06-10,1.21139,1.21139,1.18872,1.18872,000,0.22265
2002-06-07,1.18872,1.21139,1.18872,1.21139,32200,0.22689
2002-06-06,1.19779,1.21139,1.17965,1.21139,107400,0.22689
2002-06-05,1.19325,1.21592,1.19325,1.21592,32200,0.22774
2002-06-04,1.21139,1.21139,1.18872,1.18872,000,0.22265
2002-06-03,1.19779,1.21592,1.19779,1.21592,32200,0.22774
2002-05-31,1.19325,1.22046,1.17965,1.22046,96700,0.22859
2002-05-30,1.20685,1.20685,1.18872,1.20232,64400,0.22519
2002-05-29,1.20685,1.23859,1.18872,1.22952,247100,0.23029
2002-05-28,1.26131,1.26131,1.21139,1.24312,42900,0.23284
2002-05-24,1.23859,1.23859,1.23859,1.23859,10700,0.23199
2002-05-23,1.19779,1.19779,1.18872,1.19779,214800,0.22435
2002-05-22,1.19779,1.19779,1.17965,1.19779,53700,0.22435
2002-05-21,1.23859,1.25678,1.18872,1.19779,386800,0.22435
2002-05-20,1.18872,1.18872,1.18872,1.18872,107400,0.22265
2002-05-17,1.18872,1.18872,1.17965,1.17965,64400,0.22095
2002-05-16,1.18872,1.18872,1.17965,1.17965,214800,0.22095
2002-05-15,1.18872,1.18872,1.17965,1.17965,236300,0.22095
2002-05-14,1.18872,1.18872,1.18419,1.18419,75200,0.2218
2002-05-13,1.18419,1.18419,1.17965,1.17965,118100,0.22095
2002-05-10,1.18872,1.18872,1.17507,1.17965,225600,0.22095
2002-05-09,1.18872,1.18872,1.17965,1.17965,193400,0.22095
2002-05-08,1.18872,1.18872,1.17965,1.18872,53700,0.22265
2002-05-07,1.17965,1.18872,1.17507,1.17965,580200,0.22095
2002-05-06,1.21592,1.21592,1.17965,1.19779,666100,0.22435
2002-05-03,1.19779,1.23859,1.18872,1.18872,182600,0.22265
2002-05-02,1.19779,1.19779,1.17965,1.17965,709100,0.22095
2002-04-30,1.20232,1.20232,1.17965,1.17965,247100,0.22095
2002-04-29,1.25224,1.25224,1.17965,1.17965,429700,0.22095
2002-04-26,1.20685,1.20685,1.19779,1.20685,161100,0.22604
2002-04-24,1.25678,1.25678,1.21592,1.22499,193400,0.22944
2002-04-23,1.26131,1.26131,1.21592,1.22499,429700,0.22944
2002-04-22,1.31576,1.31576,1.22499,1.22499,730600,0.22944
2002-04-19,1.27038,1.27038,1.22952,1.24312,214800,0.23284
2002-04-18,1.28398,1.28398,1.22499,1.22499,376000,0.22944
2002-04-17,1.27038,1.29758,1.23859,1.25224,1117400,0.23454
2002-04-16,1.24312,1.25678,1.23859,1.24312,107400,0.23284
2002-04-15,1.31576,1.31576,1.24312,1.24312,118100,0.23284
2002-04-12,1.24771,1.27038,1.24771,1.27038,21400,0.23794
2002-04-11,1.27038,1.27038,1.27038,1.27038,10700,0.23794
2002-04-10,1.26584,1.27038,1.25224,1.25224,75200,0.23454
2002-04-09,1.26131,1.27038,1.25224,1.25224,96700,0.23454
2002-04-08,1.24312,1.27038,1.24312,1.27038,128900,0.23794
2002-04-05,1.26131,1.27038,1.26131,1.27038,1149700,0.23794
2002-04-04,1.24312,1.27038,1.24312,1.27038,21400,0.23794
2002-04-03,1.24312,1.27038,1.23406,1.27038,96700,0.23794
2002-04-02,1.24771,1.27038,1.24312,1.27038,75200,0.23794
2002-04-01,1.27038,1.27038,1.24312,1.27038,64400,0.23794
2002-03-29,1.25224,1.27038,1.24312,1.27038,64400,0.23794
2002-03-28,1.26584,1.27038,1.26131,1.27038,32200,0.23794
2002-03-27,1.26584,1.27038,1.25224,1.27038,53700,0.23794
2002-03-26,1.26131,1.27038,1.26131,1.27038,42900,0.23794
2002-03-25,1.26131,1.26131,1.24771,1.24771,000,0.2337
2002-03-22,1.26584,1.27038,1.25678,1.27038,85900,0.23794
2002-03-21,1.26584,1.26584,1.25678,1.25678,000,0.23539
2002-03-20,1.27038,1.27038,1.27038,1.27038,64400,0.23794
2002-03-19,1.27038,1.27038,1.27038,1.27038,53700,0.23794
2002-03-18,1.27038,1.27038,1.26584,1.27038,32200,0.23794
2002-03-14,1.25224,1.26131,1.22499,1.26131,150400,0.23624
2002-03-13,1.26131,1.27038,1.26131,1.27038,32200,0.23794
2002-03-12,1.27038,1.27038,1.26131,1.27038,107400,0.23794
2002-03-11,1.27038,1.31576,1.27038,1.27944,279300,0.23964
2002-03-08,1.26584,1.26584,1.25224,1.25224,000,0.23454
2002-03-07,1.26131,1.27038,1.26131,1.27038,85900,0.23794
